SKU,Product Name,MSRP,Selling Price
1006-1,"UC-CUT (Sonic GP Cutter)",,$658.99
1002-1,"UC-ONE (Ultrasonic Irrigation)",,$658.99
1005-1,"GP Cut & Fit (Standard)",,$88.00
1004-1,"EP Plugger Set",,$132.00
1003-1,"EP Suction System",,$66.00
MTA-1,"Endoseal MTA Sealer",,$99.99
MTA-3,"Endocem MTA Root Repair",,$99.99
TH-001,"Stronic Touch & Heat",,$449.00
A1004-V2,"AirPeak™ X600-S (KaVo Style)",,$399.00
A1005,"AirPeak™ X600-M (NSK Style)",,$399.00
A1018,"AirPeak™ X600-45 (Surgical)",,$625.99
A1004-V3,"AirPeak™ X600-Micro (KaVo)",,$399.00
A1009B,"AirPeak™ G100-LA (Low Speed)",,$129.00
A1012,"AirPeak™ G100-ST (Straight)",,$129.00
A1019,"iTesla Electric Motor System",,$1299.00
A1003,"iTesla™ G600-S (1:5 Red Band)",,$729.00
A1028,"iTesla™ G600-D (1:1 Blue Band)",,$526.99
A1020,"iTesla™ G500-R20 (20:1 Implant)",,$658.99
A1619,"STRONIC X150 Piezo Scaler",,$849.00
A1061,"STRONIC X300 Air Scaler",,$749.00
A1658,"AirPeak™ PRO200 Air Polisher",,$699.00
A1030,"McCare™ X Maintenance",,$1399.00
IPR-001,"AirPeak Automatic IPR",,$249.00
OS-SEAL-SYR,"OsseoSeal Prefilled Syringe",,$48.00
OS_0.5cc,"0.5cc",,$74.99
OS_1.0cc,"1.0cc (2×0.5cc)",,$110.99
OS-SEAL-PDR,"OsseoSeal Allograft Powder",,$115.00
OS_5.0cc,"5cc (2×2.5cc)",,$220.99
OS-SEAL-MEM,"OsseoSeal Collagen Membrane",,$75.00
OS2030,"20×30 mm",,$121.99
OS3040,"30×40 mm",,$165.00
OSTEO-PLUG,"OsteoGen Plug 10×20mm (Large)",,$579.00
HELI-1,"Curagen™ Collagen Wound Dressing Plug",,$110.00
M1042X,"ModuLite X Curing Light",,$699.00
1007-1,"EP CURE",,$658.99
1008-1,"EP Light Transilluminator",,$160.00
M1001,"SureTact G3 Matrix Kit",,$200.00
M1002,"SureTact G3 Rings (2pk)",,$129.98
